"area_name","2020","2022","year_diff"
"77th Street",13296,14519,1223
"Central",11587,17660,6073
"Devonshire",7955,9489,1534
"Foothill",7093,7816,723
"Harbor",8856,9157,301
"Hollenbeck",7797,8493,696
"Hollywood",10141,12495,2354
"Mission",8459,9212,753
"N Hollywood",10151,11124,973
"Newton",9974,11900,1926
"Northeast",8441,10145,1704
"Olympic",9622,12006,2384
"Pacific",11556,12997,1441
"Rampart",9006,11160,2154
"Southeast",10818,11698,880
"Southwest",11150,13349,2199
"Topanga",8091,9406,1315
"Van Nuys",8741,9660,919
"West LA",9288,10444,1156
"West Valley",8070,10221,2151
"Wilshire",9273,11109,1836
